ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Papua Barat,Telukbintuni,73869,0.679773925339492,0.29119029545924835,-0.38589483407383546,0.10657645461888043,-1.0652410221435835
Papua Barat,Telukwondama,73870,0.5029301430567998,0.3807831015932497,-0.25577394793358926,0.31982588470989115,-0.8317380436813027
Jawa Barat,Ciamis,73667,0.6046522918327265,0.18033113473715487,-0.21013680619864403,0.10905710015646053,-0.8147875945006855
Jawa Barat,Kota Banjar,73707,0.542741477628586,0.14559341324791905,-0.15200929917916609,0.10826784109120456,-0.6947507768077508
Maluku Utara,Halmahera Barat,73677,0.7774461379792601,0.17644845861311137,-0.38178253362945425,0.13114843261418702,-1.1608110602332578
Maluku Utara,Halmahera Selatan,73678,0.6297807572543065,0.289331143684114,-0.30070750821497905,0.2292729548794137,-0.9478859597375427
Maluku Utara,Halmahera Tengah,73679,0.701326435405934,0.23842193661268166,-0.3462237177701496,0.1309007091196996,-1.0521097021549886
Maluku Utara,Halmahera Timur,73680,0.588152305976429,0.29263960891291113,-0.3063716689949704,0.17843635730101445,-0.9052574503556211
Maluku Utara,Halmahera Utara,73681,0.7380381872307464,0.21389000734732377,-0.35938892603459344,0.12329397255496653,-1.099901407411021
Maluku Utara,Kepulauan-sula,73700,0.6549776175550565,0.29239786082849173,-0.3696769417115994,0.14207955602865152,-1.0288941921798693
Maluku Utara,Kota Tidore,73759,0.7064494524205966,0.19472453407415216,-0.35864994563991726,0.1380854901287603,-1.0676565456137974
Sulawesi Barat,Mamuju Utara,73785,0.8176623074973116,0.1539245651203648,-0.37815722661068757,0.11692451381781857,-1.197334805527243
Sulawesi Barat,Mamuju,73786,0.8285334248223463,0.1175673038415442,-0.3792658057878963,0.09749501770533342,-1.2085370946034302
Sulawesi Selatan,Luwu Timur,73777,0.7321918544533201,0.21781792036564168,-0.3355121636792928,0.10465406621915466,-1.067750645834726
Sulawesi Selatan,Luwu Utara,73778,0.7591476623404704,0.17916385050836872,-0.3316970787658402,0.1050038877072635,-1.0908414758608298
Sulawesi Utara,Kota Tomohon,73760,0.6972361597507809,0.1627161120573386,-0.31982465457067755,0.118856846593899,-1.0170608143214594
Sulawesi Utara,Minahasa Selatan,73798,0.765407215596834,0.17533552706168715,-0.3800223851817279,0.11535772161527202,-1.1467512522350636
Nangroe Aceh Darussalam,Aceh Tengah,73629,0.6839731646369389,0.27328959477338594,-0.32436066334657293,0.1273970428732335,-1.0085262924480296
Nangroe Aceh Darussalam,Bener Meriah,73650,0.688385705050972,0.30950020531078876,-0.340095832879118,0.11144387635726244,-1.0278842304345803
Bengkulu,Lebong,73774,0.7006447198054786,0.25447528184185453,-0.33690952675273617,0.0950434878470743,-1.0371778435468682
Bengkulu,Rejanglebong,73834,0.662283860284061,0.2637099249550261,-0.28032171815195567,0.09383575085190031,-0.9423874056185183
Bengkulu,Kepahiang,73882,0.7300265172609662,0.1764518733604579,-0.29415483808733606,0.07606136295226934,-1.0241664218064026
Kalimantan Barat,Melawi,73794,0.700227416930594,0.19711870683007246,-0.3495084479728552,0.085616686096078,-1.049728272687325
Kalimantan Barat,Sanggau,73839,0.772497874447758,0.16151526708791156,-0.34764559911424353,0.09786091093008709,-1.1201341263333608
Kalimantan Barat,Sekadau,73843,0.7622320808430391,0.1471390468410034,-0.3440095736620047,0.07910440041566341,-1.1062268412054068
Kalimantan Barat,Sintang,73851,0.6944702057310712,0.19582636024160285,-0.32699972896402957,0.09946169760775293,-1.021416079816431
Nusatenggara Barat,Sumbawa Barat,73857,0.7345967411944421,0.18422346348272878,-0.2932787029089677,0.1633868729643052,-1.0312966568550304
Nusatenggara Barat,Sumbawa,73858,0.646394406186317,0.2192856277599427,-0.22676369324135967,0.1788865822477089,-0.8772198493398704
Sulawesi Tengah,Poso,73830,0.7607826501648697,0.18757287360750124,-0.3098849692189384,0.20867349220778372,-1.0894119898791013
